trait,market energy,established,gender,scope of interest,affiliation preference,consumer value,interpersonal style,societal position
I am often interested in theories.                                                          ,0.554117085723772,0.1799493827786,-0.0234223513074447,0.553701062283541,0.148021000260861,-0.327386459187601,0.471156501463304,0.0485638032195008
"I often ask people's advice about clothes, vacatons, and other spending decisions.          ",0.573565316521133,-0.319052810852944,0.454160283261211,0.0283131777766852,0.367785111396765,0.15934054518642,0.438098786921924,-0.0978728156089923
"A good negotiator doesn't just get the food in the bowl, but the bowl itself.               ",0.287803048746946,-0.0574641361586649,0.0430137782972743,0.0969241675773925,0.682391527129041,-0.170110919490912,0.633110482658826,0.0848409943570029
I love to make things I can use every day.                                                  ,0.156771465204988,-0.179713601353259,0.0488799035280227,0.0616227198978115,0.376113418888912,-0.446397435336912,0.611912832864714,0.470924447699854
I follow the latest trends and fashions.                                                    ,0.20363948011159,-0.324575770490638,0.38423557176309,0.0341629055434213,0.451206904590894,0.451343380035319,0.388858174722997,-0.381927028535438
"Just as the Bible says, the world literally was created in six days.                        ",-0.500440218655123,-0.201692743907916,0.0795270240612856,-0.500959402500845,0.558032751291082,0.339611190528082,0.101487007229173,-0.120659973543551
I like being in charge of a group.                                                          ,0.706146114074915,-0.0734598955526958,0.0313811812945936,0.120261834544106,0.437551143110873,0.00382351764716891,0.417356359479816,-0.338912479870321
"I like to learn about art, culture, and history.                                            ",0.503465772410802,0.258554814720025,0.141131038998695,0.458906249009465,0.320854085931437,-0.389904100567878,0.438558670119501,0.0430400861008793
I often crave excitement.                                                                   ,0.644798503515748,-0.406203639147131,0.137127813011827,0.108455821611216,0.240748679074478,0.034650156412979,0.547534844677426,-0.172371184115056
I am really interested in only a few things.                                                ,-0.394957571751026,-0.502739292755425,-0.37307021437859,-0.391861797995883,0.0504652287007037,0.428050736738713,-0.334098507827167,0.0335958477872693
I would rather make something than buy it.                                                  ,0.173432031540619,-0.21202632537186,-0.132446659533555,0.0204339807319533,0.350154694307817,-0.52585853525993,0.582020737828021,0.411245491502892
I dress more fashionably than most people.                                                  ,0.286043349404726,-0.216623469361678,0.332378178175002,0.103895886141111,0.510655596162602,0.426681840646888,0.398305233676853,-0.385370310344069
The federal government should encourage prayers in public schools.                          ,-0.547738188445144,-0.151185708560781,-0.00296281000588488,-0.449854373584263,0.591514735621047,0.313741839119743,0.105185289844362,-0.123937296642566
I have more ability than most people.                                                       ,0.724268907561623,0.124827953112098,-0.124879372486095,0.179480811297854,0.411696908188115,-0.117087310376352,0.461663020634912,-0.125330703660784
I consider myself an intellectual.                                                          ,0.775515563833818,0.0743272405802734,0.094326148255612,0.33405001119706,0.200284305832714,-0.207609358301241,0.424324063027145,-0.0964255155689241
Only a fool gives more than they get.                                                       ,0.0467434746985514,-0.630073821294716,-0.0982398709978661,-0.0716681542676249,0.442983700112671,0.296763407907689,0.484225485984294,-0.259339990335372
I like trying new things.                                                                   ,0.583267131759317,-0.0663068775614135,0.206759730206877,0.252459079282656,0.377095159676125,-0.266619762539272,0.5793162578862,-0.0048470992270642
"I am very interested in how mechanical things, such as engines, work.                       ",0.372957856777187,-0.155126494178651,-0.672368739768228,0.0948318011429344,0.257458772866343,-0.292130098916959,0.468053316502776,0.0711793062494711
I like to dress in the latest fashions.                                                     ,0.174354565476839,-0.279727198303302,0.392221591975143,0.0367210600394864,0.471517813847691,0.43733628138194,0.391531131806094,-0.41143440255134
There is too much sex on television today.                                                  ,-0.535967588179586,0.273344035082002,0.299295000688926,-0.277264663727519,0.65847970089077,0.103050070754397,0.124106938661267,0.1093216626528
I like to lead others.                                                                      ,0.729565998358536,-0.0440391809922052,0.0173643048027921,0.0894249852050691,0.416161523171032,0.00257168836435535,0.431022425177728,-0.313876248800815
People who think too much annoy me.                                                         ,-0.131385517552274,-0.528209397130908,-0.0801528992301447,-0.343680074995797,0.546253936574685,0.382294908774379,0.24476768412509,-0.273382913997747
I like a lot of excitement in my life.                                                      ,0.634935145252666,-0.438664196685639,0.132485192032473,0.108434492883127,0.2330951265195,0.120007845070894,0.521062724978212,-0.186759562719011
I must admit that my interests are somewhat narrow and limited.                             ,-0.411456212504587,-0.485092539381223,-0.370858315759479,-0.379819662278881,0.163586440270842,0.462139762501091,-0.269088039508312,-0.0291219964112782
"I like making things of wood, metal, or other such material.                                ",0.248126461165063,-0.182167595000404,-0.561791524013998,-0.0234135214540217,0.306005504075326,-0.389880278800261,0.551120509804333,0.199274936988752
I want to be considered fashionable.                                                        ,0.21710890554524,-0.268333698122047,0.415023299132418,0.0846214481960524,0.487368615941544,0.426446087169747,0.384275416296767,-0.366610955415033
Religion is the most important way to know what's morally correct.                          ,-0.47754174832024,-0.128741703520477,0.0247198513258966,-0.374615495916211,0.650680727740884,0.377826514423501,0.199073160744112,-0.093076333040689
I like the challenge of doing something I have never done before.                           ,0.545542444559035,-0.0215707781988266,0.0444908264763813,0.222291221327353,0.417935820151321,-0.34255096584959,0.598704733095363,-0.0081517232446487
"No matter how much evil I see I the world, my faith in God is strong.                       ",-0.56476178964564,0.0299831442811081,0.138592653725663,-0.428487949337015,0.648234311950307,0.16620811063926,0.166841640105213,-0.0408202586536764
I like to make things with my hands.                                                        ,0.119933014445553,-0.020496420189533,-0.187920793713252,0.0358761140954628,0.400336803147859,-0.53306873530336,0.581425660779848,0.407562286046138
I am always looking for a new thrill.                                                       ,0.543173558378767,-0.54073235157899,-0.00399507272867204,0.067058699300614,0.233878478957079,0.0190993549128158,0.579446484496699,-0.131286035064894
I like doing things that are new and different.                                             ,0.582605043246927,-0.116664731808949,0.135539898389155,0.212826301989424,0.379811314778626,-0.263930795231995,0.607323962232097,-0.0231540591344383
I like to look through hardware or automotive stores.                                       ,0.2609639825579,-0.143804492053638,-0.721052090071189,0.012447706240192,0.334163745006863,-0.251905159486002,0.459070156904132,0.0726634645016266
I would like to understand more about how the universe works.                               ,0.515205949600792,0.0862738574068896,-0.175252461399309,0.523547789906837,0.233046190017306,-0.391595286455406,0.45623503755958,0.0805985913559683
I need to get the news everyday.                                                            ,0.0184489082765755,0.500550890377934,-0.183644453066967,0.459960782707348,0.608164967870685,0.0863946989272862,0.318685462789291,-0.15789281431758
